HANDLE,CPF_CNPJ,PRESTADOR,UF,MUNICIPIO,TIPO_PRESTADOR,CATEGORIA
1001,24.125.859/0001-45,INSTITUTO SÃO LUCAS S/S,PE,RECIFE,PF,CLÍNICA PJ
1002,14.130.195/0001-37,INSTITUTO ELITE EPP,MG,BELO HORIZONTE,PF,CLÍNICA PJ
1003,99.658.529/0001-38,HOSPITAL CENTRAL S.A.,PE,RECIFE,PF,CLÍNICA PJ
1004,53.384.259/0001-37,CENTRO MÉDICO BEM ESTAR LTDA,MG,UBERLÂNDIA,PF,MÉDICO PF
1005,87.370.926/0001-15,HOSPITAL ELITE LTDA,RJ,NITERÓI,PF,CLÍNICA PJ
1006,90.733.982/0001-56,POLICLÍNICA SÃO LUCAS,RJ,RIO DE JANEIRO,PF,CLÍNICA PJ
1007,47.181.975/0001-39,CLÍNICA INTEGRADA S.A.,SP,CAMPINAS,PJ,AMBULATORIAL
1008,55.314.786/0001-44,CLÍNICA CENTRAL,RJ,RIO DE JANEIRO,PF,AMBULATORIAL
1009,58.376.755/0001-98,POLICLÍNICA SÃO LUCAS,MG,UBERLÂNDIA,PF,AMBULATORIAL
1010,50.510.374/0001-18,INSTITUTO CENTRAL,CE,CAUCAIA,PF,CLÍNICA PJ
1011,60.758.569/0001-28,CENTRO MÉDICO MÉDICA NORTE S/S,MG,UBERLÂNDIA,PJ,CLÍNICA PJ
1012,56.324.241/0001-75,HOSPITAL BEM ESTAR LTDA,MG,BELO HORIZONTE,PF,CLÍNICA PJ
1013,97.532.710/0001-18,HOSPITAL INTEGRADA EPP,SP,CAMPINAS,PJ,CLÍNICA PJ
1014,97.838.217/0001-97,POLICLÍNICA SANTA CRUZ,CE,CAUCAIA,PF,MÉDICO PF
1015,30.564.103/0001-43,POLICLÍNICA MÉDICA NORTE EPP,MG,BELO HORIZONTE,PJ,CLÍNICA PJ
1016,87.303.256/0001-57,INSTITUTO ELITE EPP,BA,SALVADOR,PJ,MÉDICO PF
1017,24.471.999/0001-49,INSTITUTO SAÚDE PLENA S/S,CE,FORTALEZA,PF,CLÍNICA PJ
1018,18.878.645/0001-26,INSTITUTO PREMIER EPP,MG,BELO HORIZONTE,PJ,CLÍNICA PJ
1019,64.316.652/0001-98,INSTITUTO SANTA CRUZ ME,BA,FEIRA DE SANTANA,PJ,CLÍNICA PJ
1020,25.353.330/0001-18,CENTRO MÉDICO SAÚDE PLENA EPP,MG,BELO HORIZONTE,PF,AMBULATORIAL
1021,90.160.334/0001-18,CLÍNICA NOVA ESPERANÇA LTDA,CE,FORTALEZA,PJ,CLÍNICA PJ
1022,37.652.235/0001-83,POLICLÍNICA PREMIER S/S,MG,UBERLÂNDIA,PJ,AMBULATORIAL
1023,22.774.541/0001-55,HOSPITAL INTEGRADA ME,CE,FORTALEZA,PF,AMBULATORIAL
1024,53.919.982/0001-23,INSTITUTO SÃO LUCAS S/S,MG,UBERLÂNDIA,PF,MÉDICO PF
