HANDLE,ESTRUTURA,CBOS,FAIXA_ETARIA,ANO,MES,REGIME_ATENDIMENTO,QTDE_PAGA,VALOR_PAGO
1060,1.02.01.003,,PED,2025,4,DOMICILIAR,2,27.02
1006,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,102.94
1181,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,115.77
1049,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,80.41
1154,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,5,148.26
1040,2.01.01.010,,PED,2025,4,DOMICILIAR,5,101.85
1164,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,104.27
1005,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,96.0
1138,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,117.7
1197,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,74.63
1029,1.01.01.012,PSIQUIATRIA,ADULTO,2025,4,AMBULATORIAL,2,160.82
1046,1.01.01.012,GINECOLOGIA,ADULTO,2025,4,DOMICILIAR,2,150.63
1100,2.01.01.010,,PED,2025,4,AMBULATORIAL,3,137.04
1057,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,2,45.32
1021,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,5,17.26
1191,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,118.79
1011,1.01.01.012,OTORRINOLARINGOLOGIA,PED,2025,4,AMBULATORIAL,2,71.34
1133,1.01.01.012,CARDIOLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,123.42
1064,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,154.07
1107,1.01.01.012,GASTROENTEROLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,89.05
1027,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,57.6
1130,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,63.72
1081,3.01.02.005,,PED,2025,4,DOMICILIAR,4,117.7
1196,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,74.2
1197,3.01.02.005,,PED,2025,4,DOMICILIAR,4,90.93
1115,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,163.22
1133,1.01.02.001,,PED,2025,4,AMBULATORIAL,3,96.53
1057,1.01.02.001,,PED,2025,4,AMBULATORIAL,3,150.04
1147,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,1,76.8
1118,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,3,63.11
1060,1.02.01.003,,PED,2025,4,AMBULATORIAL,5,147.08
1103,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,89.8
1045,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,24.24
1010,3.01.02.005,,PED,2025,4,AMBULATORIAL,1,138.81
1112,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,5,83.86
1003,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,5,157.21
1039,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,1,117.35
1173,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,71.12
1075,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,3,102.05
1022,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,99.42
1112,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,5,148.23
1051,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,123.68
1189,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,1,161.72
1069,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,159.8
1109,1.02.01.003,,PED,2025,4,AMBULATORIAL,3,138.85
1089,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,2,165.09
1114,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,1,98.17
1060,1.01.02.001,,PED,2025,4,AMBULATORIAL,1,114.47
1159,1.01.02.001,,PED,2025,4,AMBULATORIAL,3,112.78
1178,1.01.01.012,ORTOPEDIA,PED,2025,4,DOMICILIAR,1,66.66
1055,1.01.02.001,,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,167.3
1160,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,5,148.73
1066,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,2,72.36
1179,3.01.02.005,,PED,2025,4,AMBULATORIAL,4,99.72
1100,1.02.01.003,,PED,2025,4,AMBULATORIAL,1,98.19
1075,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,5,123.39
1081,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,2,99.98
1129,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,2,136.89
1126,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,3,84.99
1176,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,113.78
1129,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,227.04
1100,1.01.01.012,PSIQUIATRIA,PED,2025,4,AMBULATORIAL,2,78.49
1036,1.01.01.012,REUMATOLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,140.68
1161,1.01.02.001,,PED,2025,4,AMBULATORIAL,5,171.55
1155,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,200.86
1053,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,3,66.73
1035,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,13.81
1041,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,124.42
1082,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,4,95.83
1106,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,119.78
1034,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,126.7
1069,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,104.24
1021,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,113.27
1121,1.02.01.003,,ADULTO,2025,4,DOMICILIAR,4,76.45
1058,1.01.01.012,DERMATOLOGIA,ADULTO,2025,4,DOMICILIAR,4,107.4
1057,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,2,220.57
1158,2.01.01.010,,PED,2025,4,DOMICILIAR,2,45.04
1110,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,94.61
1191,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,58.74
1116,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,5,-22.61
1011,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,72.54
1049,1.02.01.003,,PED,2025,4,DOMICILIAR,3,108.47
1043,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,66.48
1177,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,4,147.7
1047,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,4,131.54
1083,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,4,43.07
1052,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,3,64.8
1178,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,1,85.67
1022,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,41.59
1157,1.01.02.001,,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,129.51
1086,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,2,110.5
1046,1.01.01.012,DERMATOLOGIA,PED,2025,4,DOMICILIAR,4,96.15
1034,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,130.57
1004,2.01.01.010,,PED,2025,4,DOMICILIAR,5,124.75
1127,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,45.39
